timestamp,age_group,industry,job_title,job_context,annual_salary,additional_compensation,currency,"If ""Other,"" please indicate the currency here: ",income_context,country,state,city,overall_experience,field_experience,education_level,gender,race,total_compensation,major_industry
4/27/2021 11:02:10,25-34,Education (Higher Education),Research and Instruction Librarian,,55000.0,0.0,USD,,,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White,55000.0,Education and Research
4/27/2021 11:02:38,25-34,"Accounting, Banking & Finance",Marketing Specialist,,34000.0,0.0,USD,,,US,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White,34000.0,Financial Services
4/27/2021 11:02:41,25-34,Nonprofits,Program Manager,,62000.0,3000.0,USD,,,USA,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White,65000.0,Technology and Information
4/27/2021 11:02:42,25-34,"Accounting, Banking & Finance",Accounting Manager,,60000.0,7000.0,USD,,,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White,67000.0,Financial Services
4/27/2021 11:02:46,25-34,Education (Higher Education),Scholarly Publishing Librarian,,62000.0,0.0,USD,,,USA,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White,62000.0,Education and Research
4/27/2021 11:03:00,25-34,Education (Primary/Secondary),Librarian,"High school, FT",50000.0,0.0,USD,,,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White,50000.0,Education and Research
4/27/2021 11:03:02,35-44,"Accounting, Banking & Finance",Senior Accountant,,45000.0,0.0,USD,,I work for a Charter School,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",45000.0,Financial Services
4/27/2021 11:03:03,25-34,Nonprofits,Office Manager,,47500.0,0.0,USD,,,United States,,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White,47500.0,Technology and Information
4/27/2021 11:03:07,35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,,62000.0,0.0,USD,,,USA,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White",62000.0,Education and Research
4/27/2021 11:03:09,35-44,"Accounting, Banking & Finance",Manager of Information Services,,100000.0,0.0,USD,,,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White",100000.0,Financial Services
4/27/2021 11:03:13,35-44,Business or Consulting,Executive Assistant,,85000.0,5000.0,USD,,,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White,90000.0,Professional Services
4/27/2021 11:03:21,35-44,Business or Consulting,Senior Manager,,98000.0,1000.0,USD,,,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White,99000.0,Professional Services
4/27/2021 11:03:23,35-44,Education (Higher Education),Assistant Director of Academic Advising,,54000.0,0.0,USD,,,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White,54000.0,Education and Research
4/27/2021 11:03:24,25-34,Health care,Data Programmer Analyst,,74000.0,0.0,USD,,,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White,74000.0,Healthcare and Life Sciences
4/27/2021 11:03:24,35-44,Nonprofits,Program Coordinator & Assistant Editor ,,50000.0,0.0,USD,,,United States,,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White,50000.0,Technology and Information
4/27/2021 11:03:29,35-44,Government and Public Administration,Researcher,,96000.0,1000.0,USD,,,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American,97000.0,Government and Public Sector
4/27/2021 11:03:31,25-34,Public Library,Teen Librarian ,,44500.0,0.0,USD,,,US,Florida,Bradenton,5-7 years,2 - 4 years,,Woman,White,44500.0,Education and Research
4/27/2021 11:03:34,35-44,Education (Higher Education),Communications Specialist,,60000.0,0.0,USD,,,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White,60000.0,Education and Research
4/27/2021 11:03:38,25-34,Nonprofits,Program Director,I manage staff members who each manage 8-15 other people. ,62000.0,0.0,USD,,,US,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,White,62000.0,Technology and Information
